GEOID,B01003_001E_x,B02001_002E_x,B01001_026E_x,B01003_001M_x,B02001_002T,B01001_026T,B01003_001E_y,B01003_001M_y,B02001_002E_y,B02001_002M,B01001_026E_y,B01001_026M,state,county,tract
10003014301,1305.5275384445126,1092.9471154436999,737.0652070471452,916.6538564277529,858.7720067810519,545.1263204750219,1448,330,1243,328,643,167,10,003,014301
10003014302,5752.238933724627,4822.283655512852,3248.3069240415352,868.9725025341414,933.4478613669739,653.3451085981175,6014,567,4908,567,3508,443,10,003,014302
10003014402,3233.562386422459,2422.128106265698,1820.4310824139898,790.4235643116258,535.4338950831298,473.6475727444483,2989,505,2412,412,1483,333,10,003,014402
10003014403,5200.858852975152,4037.6260651225925,2585.5050114373466,1971.8940000407008,2316.4368742773877,1225.605785567294,4966,605,3459,600,2352,406,10,003,014403
10003014404,3482.422381680872,2901.0656075086413,1833.6564483727416,638.8376753253383,574.0933243339005,414.0073570721417,4754,664,2949,429,2359,320,10,003,014404
10003014501,2052.2592407175634,1948.3340924663928,1169.4203550687294,303.8271301368638,310.14303834800995,237.29851140721428,2126,343,1470,310,973,203,10,003,014501
10003014502,6443.329411764706,5969.899901524992,3720.2295695951684,1856.694577355638,1846.568733035012,1132.6027705669817,6752,735,5791,713,3676,523,10,003,014502
10003014702,1927.0,1550.9951375668218,915.8356280800468,435.45126235444815,320.94940577853316,159.88096389343315,1759,387,1144,289,879,244,10,003,014702
10003014703,4727.960795191863,3420.0201024133653,2710.4406347744875,504.997385535474,707.7459335187511,454.7642454593688,5485,990,3445,687,3067,659,10,003,014703
10003014705,5420.037844263919,4051.490258809974,2552.279343888501,851.2389369898348,703.8403098701906,437.8110411831389,5082,631,3254,394,2421,338,10,003,014705
10003014706,3061.735294117647,1400.0200061174942,1667.6855225678182,528.9813279377687,345.2487130878457,298.3118104315101,2743,431,1380,390,1313,240,10,003,014706
10003014803,3857.8803556228127,3356.7799016710255,2030.0067943184738,357.00817495685686,391.8322065730053,226.26514170696944,4206,408,2876,338,2251,298,10,003,014803
10003014808,6319.0,4301.385903881473,3132.407630711368,1061.9040909074697,877.4149069333876,579.9811712051239,6381,959,3005,410,2745,386,10,003,014808
10003014809,7662.0,5388.420110260507,3928.18430711827,1009.5252047026886,1019.1261433678119,652.1181904226302,8336,1706,5137,1529,4300,902,10,003,014809
10003014810,7106.706706706706,4703.989847632459,3416.2162691372314,951.2852837392772,943.3632571090126,622.5517078345533,7111,791,4924,619,3590,430,10,003,014810
10003014811,6007.0,3732.854957397366,2862.165666150271,573.6053245983977,651.8726813328321,407.9317191628876,6417,561,3869,593,3301,395,10,003,014811
10003014812,4161.293293293294,2585.9004992599102,1982.7386034368994,504.98201469733385,579.4542930237616,359.6063124357057,4732,1019,3288,885,2604,818,10,003,014812
10003014813,4871.19587628866,3184.112688203214,2534.049172902361,623.1587053253239,661.3410413196301,397.2960462792654,5051,1193,2799,666,2532,710,10,003,014813
10003014814,3676.0,2402.8592852958404,1912.2952548330404,533.0489966782039,669.9927989045556,397.4911253028459,4121,687,2493,656,2275,485,10,003,014814
10003014903,7134.0,3271.968637249736,3254.912640825206,1329.0638428047282,1084.7280952673427,827.5658871152192,7662,1215,3651,950,3999,755,10,003,014903
10003014904,4968.635353535354,2870.7252061587037,2614.376796416364,647.4948305639921,433.6335775757664,351.45546826089725,5417,851,3126,711,3069,634,10,003,014904
10003014906,4726.0,2043.5464295685588,2303.7710327257137,778.3466733017585,439.9979233485584,501.79795734414887,5352,685,1604,301,2836,371,10,003,014906
10003014907,4838.988235294118,2361.641826626193,2534.353162196578,890.714237387445,636.7984560898846,538.2737740721929,4932,679,1963,472,2681,488,10,003,014907
10003014908,2198.363339275104,696.8114082535792,1332.4778145821174,238.76502812047514,149.11450858351787,220.54622865043763,2258,502,697,205,1515,449,10,003,014908
10003014909,6075.601307189542,2057.385036065627,3287.1946034772272,845.7284172228187,442.3836152424141,580.3876527985765,5711,642,2193,563,2688,476,10,003,014909
10003015000,5304.436363636363,2847.2872078048094,2719.6430958135597,931.1843843806489,747.3319365107304,453.5830949633739,5670,1223,3676,1267,2787,471,10,003,015000
10003015100,3527.0079340450184,2892.001363026428,1863.2821255510887,432.12179302550163,440.1783340809808,290.25887297802564,3567,491,2439,583,1771,289,10,003,015100
10003015200,5929.0,4275.816184270344,3539.9696923776332,2234.38176185214,1362.0955927851744,1575.8057972495324,6110,710,3135,610,3264,475,10,003,015200
10003015400,3189.509090909091,216.43512984643957,1860.6439388411661,558.7387116849727,68.90970886964912,263.7632335225311,2812,532,318,196,1583,325,10,003,015400
